(0.780125, -0.706921)
(0.208417, -0.663775)
(-0.026492, -0.100400)
(0.706526, -0.798224)
(0.394578, -0.675991)
(0.072369, 0.233531)
(-0.435595, -0.717199)
(-0.112834, -0.577830)
(0.015965, 0.009492)
(0.465350, -0.227136)
(0.089323, -0.369601)
(0.356050, -0.605599)
(0.858370, 0.493518)
(0.858731, 0.403853)
(0.344797, -0.831955)
(0.179848, 0.118739)
(-0.467238, -0.752155)
(0.309328, 0.118256)
(-0.509385, -0.619071)
(0.780142, -0.706923)
(0.208376, -0.663740)
(-0.026561, -0.100411)
(0.706530, -0.798232)
(0.394580, -0.676007)
(-0.435614, -0.717212)
(-0.112822, -0.577854)
(0.015915, 0.009501)
(0.465350, -0.227169)
(0.089309, -0.369628)
(0.356054, -0.605628)
(0.344815, -0.831995)
(0.179869, 0.118752)
(-0.467241, -0.752175)
(0.309308, 0.118239)
(-0.509404, -0.619074)
(0.780158, -0.706924)
(0.208334, -0.663706)
(-0.026630, -0.100423)
(0.706535, -0.798240)
(0.394583, -0.676023)
(-0.442938, -0.712507)
(-0.112809, -0.577877)
(0.465351, -0.227202)
(0.089295, -0.369656)
(0.356058, -0.605657)
(0.344833, -0.832034)
(-0.467245, -0.752195)
(-0.509423, -0.619077)
(0.780175, -0.706926)
(0.208292, -0.663671)
(-0.026700, -0.100434)
(0.706539, -0.798248)
(0.394585, -0.676038)
(-0.457541, -0.702697)
(-0.112797, -0.577901)
(0.465351, -0.227236)
(0.089280, -0.369683)
(0.356061, -0.605687)
(0.344852, -0.832074)
(-0.467249, -0.752216)
(-0.509441, -0.619080)
(0.780192, -0.706927)
(-0.817381, -0.780538)
(0.208251, -0.663637)
(-0.026769, -0.100445)
(0.706543, -0.798255)
(0.394587, -0.676054)
(-0.472470, -0.692667)
(-0.112785, -0.577924)
(0.465352, -0.227269)
(0.089266, -0.369710)
(0.356065, -0.605716)
(0.344870, -0.832113)
(-0.467252, -0.752236)
(-0.509460, -0.619083)
(0.780209, -0.706929)
(-0.791659, -0.551437)
(-0.817397, -0.780539)
(0.208209, -0.663602)
(0.706548, -0.798263)
(0.394590, -0.676070)
(-0.487411, -0.682629)
(-0.112772, -0.577948)
(0.089252, -0.369738)
(0.356069, -0.605745)
(0.344888, -0.832152)
(-0.467256, -0.752256)
(-0.509479, -0.619086)
(0.780225, -0.706931)
(-0.791667, -0.551442)
(-0.817413, -0.780541)
(0.208168, -0.663568)
(0.706552, -0.798271)
(0.394592, -0.676085)
(-0.502352, -0.672591)
(-0.112760, -0.577971)
(0.089238, -0.369765)
(0.356073, -0.605775)
(0.344907, -0.832192)
(-0.509498, -0.619089)
(0.780242, -0.706932)
(-0.791674, -0.551447)
(-0.817429, -0.780542)
(0.208126, -0.663533)
(0.706556, -0.798279)
(0.394594, -0.676101)
(-0.517293, -0.662553)
(-0.112748, -0.577995)
(0.356076, -0.605804)
(0.344925, -0.832231)
(-0.509517, -0.619092)
(0.780259, -0.706934)
(-0.791682, -0.551451)
(-0.817445, -0.780544)
(0.208085, -0.663499)
(0.706560, -0.798286)
(0.394597, -0.676117)
(-0.821867, -0.445629)
(-0.532234, -0.652514)
(-0.112735, -0.578018)
(0.356080, -0.605834)
(0.344943, -0.832270)
(-0.509536, -0.619095)
(-0.791690, -0.551456)
(-0.817461, -0.780545)
(0.208043, -0.663464)
(0.706565, -0.798294)
(0.394599, -0.676132)
(-0.821887, -0.445622)
(-0.547175, -0.642476)
(-0.112723, -0.578042)
(0.344962, -0.832310)
(-0.516673, -0.614391)
(-0.791698, -0.551460)
(-0.817477, -0.780547)
(0.208001, -0.663430)
